1,7,4
1,8,1
1,16,5
1,20,4
1,27,2
1,33,4
1,40,3
1,49,3
1,53,3
1,56,4
1,66,4
1,67,3
1,68,4
1,70,3
1,75,4
1,81,5
1,83,3
1,84,4
1,88,4
1,90,4
1,91,5
1,92,3
1,104,1
1,105,2
1,109,5
1,111,5
1,112,1
1,113,5
1,119,5
1,120,1
1,127,5
1,129,5
1,133,4
1,156,4
1,157,4
1,163,4
1,173,5
1,174,5
1,182,4
1,184,4
1,204,5
1,221,5
1,230,4
1,231,1
1,233,2
1,239,4
1,245,2
1,248,4
1,249,4
1,251,4
1,255,2
1,256,4
1,265,4
1,268,5
1,269,5
2,14,4
2,25,4
2,111,4
2,272,5
2,276,4
2,278,3
2,286,4
2,298,3
2,299,4
2,301,4
2,303,4
2,308,3
2,310,4
3,271,3
3,302,2
3,307,3
3,320,5
3,322,3
3,327,4
3,337,1
3,339,3
3,340,5
3,349,3
3,350,3
4,260,4
4,300,5
4,327,5
4,329,5
4,356,3
5,24,4
5,89,5
5,99,3
5,151,3
5,153,5
5,176,3
5,194,4
5,200,2
5,229,2
5,230,3
5,231,2
5,233,4
5,241,1
5,243,1
5,364,1
5,365,1
5,368,1
5,378,1
5,382,5
5,389,1
5,395,2
5,396,5
5,399,3
5,402,1
5,408,5
5,412,3
5,413,3
5,415,1
5,419,3
5,433,5
5,434,5
5,437,1
5,446,4
5,451,1
5,457,1
6,7,2
6,13,2
6,14,5
6,15,3
6,47,3
6,95,2
6,137,5
6,156,3
6,169,4
6,174,4
6,199,4
6,200,3
6,204,3
6,211,5
6,213,4
6,223,4
6,237,2
6,257,2
6,259,1
6,274,4
6,276,2
6,293,3
6,304,4
6,306,4
6,310,2
6,367,2
6,419,4
6,423,3
6,432,4
6,458,1
6,459,2
6,464,2
6,473,2
6,474,5
6,482,4
6,485,5
6,489,5
6,498,4
6,499,4
6,509,4
6,516,4
6,534,4
6,538,2
7,12,5
7,27,4
7,31,4
7,32,4
7,52,4
7,56,5
7,64,5
7,68,4
7,70,1
7,72,5
7,77,5
7,78,3
7,89,5
7,91,3
7,92,5
7,96,5
7,98,4
7,99,5
7,101,5
7,121,5
7,131,5
7,164,5
7,180,5
7,183,4
7,186,4
7,194,5
7,197,4
7,201,2
7,205,5
7,207,4
7,208,5
7,212,1
7,215,4
7,237,5
